[14:49:51] [INFO] received Windows console close event; shutting log-core down
[14:49:59] [INFO] received Windows console close event; shutting log-core down
[14:50:48] [INFO] received Windows console close event; shutting log-core down
[14:51:41] [INFO] received Windows console close event; shutting log-core down
[14:53:56] [INFO] received Windows console close event; shutting log-core down
[14:54:29] [INFO] received Windows console close event; shutting log-core down
[14:54:42] [INFO] received Windows console close event; shutting log-core down
[14:55:06] [INFO] received Windows console close event; shutting log-core down
[14:55:16] [INFO] received Windows console close event; shutting log-core down
[14:55:30] [INFO] received Windows console close event; shutting log-core down
[14:55:57] [INFO] received Windows console close event; shutting log-core down
[14:56:57] [INFO] received Windows console close event; shutting log-core down
[14:57:36] [INFO] received Windows console close event; shutting log-core down
[14:57:41] [INFO] received Windows console close event; shutting log-core down
[14:58:42] [INFO] received Windows console close event; shutting log-core down
[14:59:20] [INFO] received Windows console close event; shutting log-core down
[14:59:24] [INFO] received Windows console close event; shutting log-core down
[14:59:55] [INFO] received Windows console close event; shutting log-core down
[15:52:07] [INFO] received Windows console close event; shutting log-core down
[15:52:42] [INFO] received Windows console close event; shutting log-core down
[15:53:21] [INFO] received Windows console close event; shutting log-core down
[15:53:48] [INFO] received Windows console close event; shutting log-core down
[15:53:59] [INFO] received Windows console close event; shutting log-core down
[16:08:55] [INFO] received Windows console close event; shutting log-core down
[16:09:30] [INFO] received Windows console close event; shutting log-core down
[16:10:13] [INFO] received Windows console close event; shutting log-core down
[16:10:28] [INFO] received Windows console close event; shutting log-core down
[16:10:58] [INFO] received Windows console close event; shutting log-core down
[01:08:24] [INFO] received Windows console close event; shutting log-core down
[01:16:00] [INFO] received Windows console close event; shutting log-core down
[01:16:22] [INFO] received Windows console close event; shutting log-core down
[01:16:51] [INFO] received Windows console close event; shutting log-core down
[02:23:08] [INFO] received Windows console close event; shutting log-core down
[20:08:05] [INFO] received Windows console close event; shutting log-core down
[20:11:31] [INFO] received Windows console close event; shutting log-core down
[20:14:27] [INFO] received Windows console close event; shutting log-core down
